Year,TeenBirthRate
2013,26.6
2012,29.4 
2011,31.3 
2010,34.2 
2009,37.9 
2008,40.2 
2007,41.5 
2006,41.1 
2005,39.7 
2004,40.5 
2003,41.1 
2002,42.6 
2001,45.0 
2000,47.7 
1999,48.8 
1998,50.3 
1997,51.3 
1996,53.5 
1995,56.0 
1994,58.2 
1993,59.0 
1992,60.3 
1991,61.8 
1990,59.9 
1989,57.3 
1988,53.0 
1987,50.6 
1986,50.2 
1985,51.0 
1984,50.6 
1983,51.4 
1982,52.4 
1981,52.2 
1980,53.0 
1979,52.3 
1978,51.5 
1977,52.8 
1976,52.8 
1975,55.6 
1974,57.5 
1973,59.3 
1972,61.7 
1971,64.5 
1970,68.3 
1969,65.5 
1968,65.6 
1967,67.5 
1966,70.3 
1965,70.5 
1964,73.1 
1963,76.7 
1962,81.4 
1961,88.6 
1960,89.1 
