Name,Type,City,StateID
Langston University Police Department,Police Departments,Langston,OK
Lodi Police Department,Police Departments,Lodi,NJ
Texas Response Group,Police Departments,Dallas,TX
Tyngsborough Police Department,Police Departments,Tyngsborough,MA
Homecroft Police Department,Police Departments,Indianapolis,IN
Madison County Sheriff's Department,Sheriffs Departments,Anderson,IN
San Antonio Park Police,Police Departments,San Antonio,TX
El Mirage Police Department,Police Departments,El Mirage ,AZ
Lubbock International Airport Police Department,Police Departments,Lubbock,TX
Benavides police department,Police Departments,Benavides,TX
United States Special Police,Police Departments,Washington,DC
St. Louis County Police Department,Police Departments,Clayton,MO
Mt. Vernon Police Department,Police Departments,Mt. Vernon,AL
Town of Durham Police Department,Police Departments,East Durham,NY,NY
Pharr Police Department,Police Departments,Pharr,TX
University of Arizona Police Department,Police Departments,Tucson,AZ
Bossier City Police Department,Louisiana,Police Departments,Bossier City,LA
City of Patton Village Police Department,Police Departments,Patton Village,TX
Arnold Police Pepartment,County Police Departments,Arnold,MO
Benton County Environmental Enforcement,Law Enforcement Associations,Bentonville,AR
Cullman County Sheriff's Office,Sheriffs Departments,Cullman,AL
Whitehall Township Police,Police Departments,Whitehall,PA
Jackson County Sheriff's Office,Sheriffs Departments,Maquoketa,IA
Valdosta State University Police Department,Campus Police Department,Valdosta,GA
Georgia Department of Community Supervision,Adult Probation & Parole,Atlanta,GA
Holland Department of Public Safety,Police Departments,Holland,MI
Asbury Park Police Department,Police Departments,Asbury park,NJ
Aurora Marshal's Office,Marshals Department,Aurora,CO
University of Southern Indiana Public Safety Office,Campus Police Department,Evansville,IN
Ceredo Police Department,Police Departments,Ceredo,WV
University of Alaska Fairbanks Police Department,Police Departments,Fairbanks,AK
Port of Portland Police Department,Police Departments,Portland,OR
Sidney Municipal Court,Adult Probation & Parole,Sidney,OH
Double Oak Police Department,Police Departments,Double Oak,TX
Winterville Police Department,Police Departments,Winterville,NC
Georgia Northwestern Technical College Police,Campus Police Department,Rome,GA
Tyronza Police Department,Police Departments,Tyronza,AR
Addyston Police Department,Police Departments,Addyston,OH
Lafayette Parish Sheriff's Office,Sheriffs Departments,Lafayette,LA
Cumberland County Sheriff's Office,Sheriffs Departments,Fayetteville,NC
Hermosa Beach Police Department,Police Departments,Hermosa Beach,CA
Charlotte-Mecklenburg Schools Police Department,Police Departments,Charlotte,NC
District 8 County Constables,County Constables,Hopkinsville,KY
Louisa County Sheriff's Office,Sheriffs Departments,Louisa,VA,VA
St. Tammany Parish Sheriff's Office (STPSO),Sheriffs Departments,Slidell,LA
Town of Colchester,Police Departments,Downsville ,NY
Waukesha County Sheriff's Department,Sheriffs Departments,Waukesha,WI
Lewistown Borough Police Department,Police Departments,Lewistown,PA
Northwest Mississippi Community College Police Department,Campus Police Department,Senatobia,MS
Mount Jackson Police Department,Police Departments,Mount Jackson,VA
KITSAP COUNTY SHERIFF DEPARTMENT,Sheriffs Departments,PORT ORCHARD,WA
University of Wisconsin - Madison Police Department,Campus Police Department,Madison,WI
Sumpter Township Police Department,Police Departments,Sumpter Township,MI
Hughes County Sheriff's Office,Sheriffs Departments,Pierre,SD
San Mateo County Sheriff's Office,Sheriffs Departments,Redwood City,CA
Dallas Schools Police Department,Police Departments,Dallas,TX
Poland Township Police,Police Departments,Poland,OH
Acadia Parish Sheriff's Office,Sheriffs Departments,Crowley,LA
Alamogordo Police Department,Police Departments,Alamogordo,NM
Mansfield Township Police Department,Police Departments,Columbus,NJ
Hartford Township Police Department,Police Departments,Hartford,WI
Bull Shoals PD,Police Departments,Bull Shoals,AR
Delaware County Sheriff's Office,Sheriffs Departments,Delaware,OH
Talty Police Department,Police Departments,Talty,TX
Whitwell Police Department,Police Departments,Whitwell,TN
Ingram Police Department,Police Departments,Ingram,TX
Horseshoe Bay Police Department,Police Departments,Horseshoe Bay,TX
