Year,StateID, School year 2014-15 student membership, Total, Instruction, Total support services, Student support services, Instructional staff support, General administration, School administration, Operations and maintenance, Student transportation, Other support services, Food services, Enterprise operations
2014,AL,744164,9146,5203,3292,550,389,246,568,867,469,204,651,0
2014,AK,131176,20191,11353,8193,1668,1392,275,1277,2278,573,730,567,77
2014,AZ,1102856,75907,40697,31107,5637,3877,1377,4117,9337,3327,3467,410,1
2014,AR,490917,9805,55037,37517,5167,8267,2477,5107,9867,3677,2977,5397,11
2014,CA,6312161,10449,62127,37747,5777,6387,1017,6837,10747,2337,4677,434,28
2014,CO,889006,9292,5249,3658,469,563,152,657,864,268,685,332,53
2014,CT,542678,190207,120267,64107,12027,5787,4207,11047,16767,9447,4867,4267,157
2014,DE,134042,13882,8576,4823,605,270,213,873,1467,681,714,483,0
2014,DC,80958,20610,11128,8713,972,1113,1725,1349,1595,1436,522,729,39
2014,FL,2756944,91137,55937,30667,3997,5887,827,5047,9057,3537,2357,453,0
2014,GA,1744437,94767,58557,30707,4427,4867,1167,5797,7177,4337,2967,523,29
2014,HI,182384,12855,7554,4583,1239,446,70,871,1268,372,317,717,0
2014,ID,290885,6899,41207,24157,3867,3217,1697,3977,6497,3207,1747,3647,#
2014,IL,2048428,13935,85987,49617,9447,5417,5397,7007,11517,6147,4707,376,0
2014,IN,1046269,95297,54827,35897,4767,3707,2167,6057,10987,5837,2407,459,0
2014,IA,505311,10938,6663,3777,629,579,280,621,943,397,328,486,11
2014,KS,497275,10329,6188,3644,646,441,284,596,980,425,271,497,0
2014,KY,688640,9560,5501,3450,455,530,229,560,861,568,246,584,24
2014,LA,716800,11106,62617,42437,6737,5727,2867,6997,10377,6477,3307,600,1
2014,ME,181613,13976,8212,5183,932,750,458,748,1420,700,173,580,2
2014,MD,874514,144317,90147,50047,6787,7517,1227,9657,13157,7597,4147,413,0
2014,MA,955844,16566,10572,5544,1204,754,257,710,1471,735,414,450,0
2014,MI,1537922,10956,6299,4254,844,549,243,606,999,454,560,403,0
2014,MN,857235,119247,77217,36507,3357,5807,4437,4747,8347,6667,3177,515,38
2014,MS,490917,8445,4801,3124,434,395,280,510,887,405,213,518,1
2014,MO,917785,10231,6039,3710,465,464,365,598,1042,524,253,483,0
2014,MT,144532,11078,6518,4051,735,417,361,607,1111,531,289,492,16
2014,NE,312635,12174,7774,3579,539,397,367,568,1022,368,318,505,315
2014,NV,459189,8451,4913,3211,444,495,113,635,861,341,321,327,#
2014,NH,184670,14969,9511,5081,1135,467,525,831,1276,665,182,376,0
2014,NJ,1400579,18838,11167,7052,1900,599,378,911,1847,978,439,414,205
2014,NM,340365,9724,5553,3697,983,270,216,592,1008,319,310,467,7
2014,NY,2741185,207447,145717,57567,6597,5427,3457,7857,17807,10417,6047,417,0
2014,NC,1548895,8529,5306,2753,411,295,147,534,719,365,282,470,0
2014,ND,106586,12909,7669,4242,513,444,551,653,1165,523,391,642,357
2014,OH,1724810,11730,6856,4484,782,491,367,673,1045,567,560,389,1
2014,OK,688511,8075,4449,3033,549,337,239,446,865,264,332,511,83
2014,OR,570857,10457,6096,3977,752,415,144,671,836,475,683,378,6
2014,PA,1743160,14405,8857,5000,780,485,441,645,1376,728,545,487,60
2014,RI,141959,15797,9698,5673,1624,543,227,746,1243,652,638,419,6
2014,SC,756523,9831,5424,3857,751,609,101,630,977,409,379,523,27
2014,SD,133040,9103,5325,3225,498,334,317,443,949,332,351,507,45
2014,TN,995475,8759,5376,2901,380,536,192,529,737,333,195,481,0
2014,TX,5233765,9081,5253,3306,442,458,133,513,959,258,543,523,0
2014,UT,635577,6751,4264,2092,262,263,67,437,627,207,230,354,41
2014,VT,87311,18769,11884,6330,1395,786,381,1186,1501,654,427,537,19
2014,VA,1280381,11235,6839,3963,568,729,179,665,1047,596,180,431,2
2014,WA,1073638,106847,61507,4075,726,708,216,634,941,411,440,347,112
2014,WV,280310,11512,6584,4203,568,529,209,621,1204,856,215,725,0
2014,WI,871432,11538,68617,42477,5677,5997,3267,5797,10827,4957,5997,430,#
2014,WY,94067,16047,9551,6012,938,905,327,871,1531,803,637,479,6
