StateID,Year,MedianIncome
United States,2017,61372
United States,2016,60309
United States,2015,58476
United States,2014,55613
United States,2013,54744
United States,2012,54569
United States,2011,54673
United States,2010,55520
United States,2009,57010
United States,2008,57412
United States,2007,59534
United States,2006,58746
United States,2005,58291
United States,2004,57674
United States,2003,57875
United States,2002,57947
United States,2001,58609
United States,2000,59938
United States,1999,60062
United States,1998,58612
United States,1997,56533
United States,1996,55394
United States,1995,54600
United States,1994,52942
United States,1993,52334
United States,1992,52615
United States,1991,53025
United States,1990,54621
United States,1989,55329
United States,1988,54390
United States,1987,53945
United States,1986,53309
United States,1985,51455
United States,1984,50511
AL,2017,51113
AL,2016,48237
AL,2015,46053
AL,2014,43820
AL,2013,43616
AL,2012,46490
AL,2011,46520
AL,2010,46120
AL,2009,45789
AL,2008,50761
AL,2007,50028
AL,2006,46255
AL,2005,46745
AL,2004,47651
AL,2003,49774
AL,2002,51380
AL,2001,48800
AL,2000,50566
AL,1999,53502
AL,1998,54664
AL,1997,48794
AL,1996,47294
AL,1995,41646
AL,1994,44626
AL,1993,42017
AL,1992,44323
AL,1991,42852
AL,1990,42607
AL,1989,40740
AL,1988,39852
AL,1987,40848
AL,1986,40965
AL,1985,39941
AL,1984,39007
AK,2017,72231
AK,2016,77351
AK,2015,77717
AK,2014,70095
AK,2013,64439
AK,2012,68080
AK,2011,62731
AK,2010,65178
AK,2009,70555
AK,2008,73032
AK,2007,74657
AK,2006,68761
AK,2005,70326
AK,2004,71632
AK,2003,69257
AK,2002,72110
AK,2001,79616
AK,2000,75436
AK,1999,75854
AK,1998,76408
AK,1997,73321
AK,1996,82374
AK,1995,76837
AK,1994,74443
AK,1993,71917
AK,1992,71791
AK,1991,71482
AK,1990,71686
AK,1989,68919
AK,1988,66133
AK,1987,68791
AK,1986,67138
AK,1985,75777
AK,1984,72912
AZ,2017,61125
AZ,2016,58328
AZ,2015,54060
AZ,2014,51050
AZ,2013,53335
AZ,2012,50320
AZ,2011,53108
AZ,2010,52839
AZ,2009,52385
AZ,2008,53544
AZ,2007,55957
AZ,2006,56864
AZ,2005,56931
AZ,2004,57039
AZ,2003,55000
AZ,2002,54292
AZ,2001,59270
AZ,2000,56788
AZ,1999,54600
AZ,1998,55906
AZ,1997,50018
AZ,1996,49377
AZ,1995,49452
AZ,1994,51349
AZ,1993,51110
AZ,1992,50420
AZ,1991,54101
AZ,1990,53309
AZ,1989,54651
AZ,1988,52811
AZ,1987,55369
AZ,1986,54600
AZ,1985,52019
AZ,1984,48280
AR,2017,48829
AR,2016,46894
AR,2015,44282
AR,2014,46560
AR,2013,42075
AR,2012,41735
AR,2011,45114
AR,2010,43477
AR,2009,41847
AR,2008,45180
AR,2007,48349
AR,2006,45164
AR,2005,46126
AR,2004,45511
AR,2003,42756
AR,2002,44253
AR,2001,46272
AR,2000,42391
AR,1999,43807
AR,1998,41700
AR,1997,39968
AR,1996,42332
AR,1995,41362
AR,1994,41950
AR,1993,38594
AR,1992,41015
AR,1991,41248
AR,1990,41565
AR,1989,41025
AR,1988,40299
AR,1987,38971
AR,1986,40104
AR,1985,38019
AR,1984,35320
CA,2017,69759
CA,2016,68070
CA,2015,65843
CA,2014,62693
CA,2013,60635
CA,2012,60990
CA,2011,58292
CA,2010,61162
CA,2009,64291
CA,2008,65071
CA,2007,66054
CA,2006,67421
CA,2005,65122
CA,2004,64033
CA,2003,65867
CA,2002,64817
CA,2001,65596
CA,2000,66827
CA,1999,64391
CA,1998,61700
CA,1997,60641
CA,1996,60576
CA,1995,59300
CA,1994,57975
CA,1993,57078
CA,1992,59943
CA,1991,59253
CA,1990,60726
CA,1989,63183
CA,1988,60507
CA,1987,62401
CA,1986,62115
CA,1985,58782
CA,1984,56983
CO,2017,74172
CO,2016,72084
CO,2015,68906
CO,2014,63162
CO,2013,66794
CO,2012,61242
CO,2011,64040
CO,2010,67866
CO,2009,64057
CO,2008,69556
CO,2007,72462
CO,2006,67882
CO,2005,63479
CO,2004,66198
CO,2003,66722
CO,2002,65988
CO,2001,68559
CO,2000,68860
CO,1999,71103
CO,1998,70239
CO,1997,66048
CO,1996,63912
CO,1995,65224
CO,1994,62081
CO,1993,57773
CO,1992,55788
CO,1991,55442
CO,1990,56062
CO,1989,51309
CO,1988,52370
CO,1987,54804
CO,1986,58222
CO,1985,61398
CO,1984,58141
CT,2017,72780
CT,2016,77556
CT,2015,75417
CT,2014,72719
CT,2013,71442
CT,2012,68720
CT,2011,71452
CT,2010,74361
CT,2009,74274
CT,2008,73823
CT,2007,76017
CT,2006,76056
CT,2005,71514
CT,2004,71680
CT,2003,73436
CT,2002,72947
CT,2001,74042
CT,2000,71618
CT,1999,74669
CT,1998,70102
CT,1997,67197
CT,1996,65737
CT,1995,64482
CT,1994,67436
CT,1993,66196
CT,1992,70141
CT,1991,74196
CT,1990,70905
CT,1989,81007
CT,1988,72346
CT,1987,68023
CT,1986,70061
CT,1985,67734
CT,1984,67493
DE,2017,62318
DE,2016,59294
DE,2015,59759
