Year,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1985,12,,27,1,0,,1,25,217,64,135,18,,,,,,,,,,
1986,12,,14,0,2,,1,11,239,66,155,18,,,,,,,,,,
1987,12,,28,0,8,,2,18,253,70,167,16,,,,,,,,,,
1988,12,,30,0,17,,1,12,210,59,141,10,,,,,,,,,,
1989,12,,26,0,10,,0,16,174,61,101,12,,,,,,,,,,
1990,12,,23,0,10,,3,10,207,59,144,4,,,,,,,,,,
1991,12,,47,0,34,,1,12,199,50,135,14,,,,,,,,,,
1992,12,,55,1,31,,2,21,240,71,165,4,,,,,,,,,,
1993,12,,38,0,24,,0,14,183,63,112,8,,,,,,,,,,
1994,12,,30,2,9,,0,19,289,83,174,32,,,,,,,,,,
1996,12,,42,0,9,,4,29,347,124,188,35,,,,,,,,,,
1997,11,,28,0,3,,0,25,219,59,133,27,,,,,,,,,,
1998,11,,18,0,5,,1,12,302,161,110,31,,,,,,,,,,
1999,12,,17,0,3,,0,14,138,36,89,13,,,,,,,,,,
2000,12,,16,1,2,,0,13,106,23,75,8,,,,,,,,,,
2001,12,,17,0,4,,0,13,135,42,80,13,,,,,,,,,,
2002,12,,20,0,4,,2,14,162,42,97,23,,,,,,,,,,
2003,12,,20,0,7,,0,13,170,45,109,16,,,,,,,,,,
2004,12,,14,1,2,,1,10,163,27,125,11,,,,,,,,,,
2005,12,,27,0,5,,1,21,198,49,129,20,,,,,,,,,,
2006,12,,11,0,2,,0,9,160,69,83,8,,,,,,,,,,
2007,12,,27,0,3,,0,24,196,81,99,16,,,,,,,,,,
2008,12,,35,0,10,,0,25,216,70,137,9,,,,,,,,,,
2009,12,,18,0,3,,0,15,285,53,218,14,,,,,,,,,,
2010,12,,21,0,7,,1,13,287,63,207,17,,,,,,,,,,
2011,12,,17,0,5,,1,11,203,42,148,13,,,,,,,,,,
2012,12,,16,0,5,,0,11,208,48,154,6,,,,,,,,,,
2013,12,,14,2,,6,0,6,205,49,143,13,,,,,,,,,,
2014,12,,14,0,,8,0,6,202,34,154,14,,,,,,,,,,
