Year,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1985,12,6014,7,0,0,,1,6,255,32,211,12,116.4,.0,.0,,16.6,99.8,4240.1,532.1,3508.5,199.5
1986,12,6280,9,1,0,,0,8,189,19,161,9,143.3,15.9,.0,,.0,127.4,3009.6,302.5,2563.7,143.3
1987,12,6093,14,0,2,,2,10,428,34,387,7,229.8,.0,32.8,,32.8,164.1,7024.5,558.0,6351.6,114.9
1988,12,6176,4,1,0,,1,2,233,25,203,5,64.8,16.2,.0,,16.2,32.4,3772.7,404.8,3286.9,81.0
1989,12,6142,5,0,1,,0,4,212,29,171,12,81.4,.0,16.3,,.0,65.1,3451.6,472.2,2784.1,195.4
1990,12,7257,23,0,3,,1,19,528,84,419,25,316.9,.0,41.3,,13.8,261.8,7275.7,1157.5,5773.7,344.5
1991,12,7455,8,0,0,,1,7,234,30,196,8,107.3,.0,.0,,13.4,93.9,3138.8,402.4,2629.1,107.3
1992,6,7636,6,0,1,,0,5,118,19,95,4,,,,,,,,,,
2003,6,29713,15,0,6,,2,7,438,88,320,30,,,,,,,,,,
2004,12,31516,33,0,8,,9,16,1009,192,761,56,104.7,.0,25.4,,28.6,50.8,3201.5,609.2,2414.6,177.7
2005,12,34156,33,1,8,,4,20,1144,182,897,65,96.6,2.9,23.4,,11.7,58.6,3349.3,532.8,2626.2,190.3
2006,12,36263,26,0,6,,7,13,1083,211,797,75,71.7,.0,16.5,,19.3,35.8,2986.5,581.9,2197.8,206.8
2007,12,38875,29,1,8,,1,19,1035,270,702,63,74.6,2.6,20.6,,2.6,48.9,2662.4,694.5,1805.8,162.1
2008,12,40607,27,0,6,,3,18,979,229,684,66,66.5,.0,14.8,,7.4,44.3,2410.9,563.9,1684.4,162.5
2009,12,44537,46,0,11,,4,31,974,232,673,69,103.3,.0,24.7,,9.0,69.6,2186.9,520.9,1511.1,154.9
2010,12,42274,62,0,6,,12,44,789,166,568,55,146.7,.0,14.2,,28.4,104.1,1866.4,392.7,1343.6,130.1
2011,12,43090,45,0,10,,7,28,905,216,636,53,104.4,.0,23.2,,16.2,65.0,2100.3,501.3,1476.0,123.0
2012,12,43600,43,1,6,,4,32,866,153,677,36,98.6,2.3,13.8,,9.2,73.4,1986.2,350.9,1552.8,82.6
2013,12,44680,40,0,,10,7,23,1099,195,845,59,89.5,.0,,22.4,15.7,51.5,2459.7,436.4,1891.2,132.1
2014,12,46032,72,1,,20,8,43,1149,157,902,90,156.4,2.2,,43.4,17.4,93.4,2496.1,341.1,1959.5,195.5
