Year,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1995,12,4062,3,0,1,,1,1,139,16,118,5,73.9,.0,24.6,,24.6,24.6,3422.0,393.9,2905.0,123.1
1996,12,4164,3,0,2,,0,1,139,31,104,4,72.0,.0,48.0,,.0,24.0,3338.1,744.5,2497.6,96.1
1997,12,4286,7,0,3,,0,4,200,32,160,8,163.3,.0,70.0,,.0,93.3,4666.4,746.6,3733.1,186.7
1998,12,4430,5,0,2,,0,3,244,34,198,12,112.9,.0,45.1,,.0,67.7,5507.9,767.5,4469.5,270.9
1999,12,6821,5,0,2,,0,3,235,33,190,12,73.3,.0,29.3,,.0,44.0,3445.2,483.8,2785.5,175.9
2000,12,9118,7,0,3,,0,4,294,37,247,10,76.8,.0,32.9,,.0,43.9,3224.4,405.8,2708.9,109.7
2001,12,9267,5,0,3,,0,2,194,32,148,14,54.0,.0,32.4,,.0,21.6,2093.4,345.3,1597.1,151.1
2002,12,9458,14,0,3,,0,11,242,34,206,2,148.0,.0,31.7,,.0,116.3,2558.7,359.5,2178.1,21.1
2003,12,9831,9,1,3,,0,5,246,54,185,7,91.5,10.2,30.5,,.0,50.9,2502.3,549.3,1881.8,71.2
2004,12,10008,1,0,0,,0,1,175,36,134,5,10.0,.0,.0,,.0,10.0,1748.6,359.7,1338.9,50.0
2005,12,9973,5,0,2,,1,2,196,38,151,7,50.1,.0,20.1,,10.0,20.1,1965.3,381.0,1514.1,70.2
2006,12,9900,3,0,0,,0,3,171,28,138,5,30.3,.0,.0,,.0,30.3,1727.3,282.8,1393.9,50.5
2007,12,10615,3,0,0,,0,3,191,25,159,7,28.3,.0,.0,,.0,28.3,1799.3,235.5,1497.9,65.9
2008,12,12272,11,0,4,,0,7,255,41,210,4,89.6,.0,32.6,,.0,57.0,2077.9,334.1,1711.2,32.6
2009,12,12739,13,0,10,,0,3,274,37,226,11,102.0,.0,78.5,,.0,23.5,2150.9,290.4,1774.1,86.3
2010,12,12102,19,0,9,,0,10,230,21,200,9,157.0,.0,74.4,,.0,82.6,1900.5,173.5,1652.6,74.4
2011,12,12336,8,0,3,,1,4,161,26,126,9,64.9,.0,24.3,,8.1,32.4,1305.1,210.8,1021.4,73.0
2012,12,12496,11,0,8,,0,3,275,66,203,6,88.0,.0,64.0,,.0,24.0,2200.7,528.2,1624.5,48.0
2013,12,13042,1,0,1,,0,0,189,28,151,10,7.7,.0,7.7,,.0,.0,1449.2,214.7,1157.8,76.7
2014,12,14255,7,0,6,,0,1,254,25,225,4,49.1,.0,42.1,,.0,7.0,1781.8,175.4,1578.4,28.1
