Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
AlpinePoliceDept,UT,12,3106,2,0,0,,0,2,92,18,65,9,64.4,.0,.0,,.0,64.4,2962.0,579.5,2092.7,289.8
AmericanForkPoliceDept,UT,12,14832,12,0,3,,0,9,607,73,521,13,80.9,.0,20.2,,.0,60.7,4092.5,492.2,3512.7,87.6
BountifulPoliceDept,UT,12,35609,107,0,1,,9,97,1135,224,875,36,300.5,.0,2.8,,25.3,272.4,3187.4,629.1,2457.2,101.1
BrighamCityPoliceDept,UT,12,16827,42,0,3,,2,37,552,52,468,32,249.6,.0,17.8,,11.9,219.9,3280.4,309.0,2781.2,190.2
CacheCountySheriffOffice,UT,12,,16,0,0,,0,16,334,82,229,23,,,,,,,,,,
CedarCityPoliceDept,UT,12,12333,14,0,6,,0,8,367,45,300,22,113.5,.0,48.6,,.0,64.9,2975.8,364.9,2432.5,178.4
CentervillePoliceDept,UT,12,9315,28,0,1,,1,26,297,60,224,13,300.6,.0,10.7,,10.7,279.1,3188.4,644.1,2404.7,139.6
ClearfieldPoliceDept,UT,12,21249,33,1,3,,3,26,650,75,529,46,155.3,4.7,14.1,,14.1,122.4,3059.0,353.0,2489.5,216.5
ClintonPoliceDept,UT,12,7188,10,0,0,,0,10,117,18,93,6,139.1,.0,.0,,.0,139.1,1627.7,250.4,1293.8,83.5
DavisCountySheriffOffice,UT,12,,27,1,0,,1,25,217,64,135,18,,,,,,,,,,
Draper,UT,12,6014,7,0,0,,1,6,255,32,211,12,116.4,.0,.0,,16.6,99.8,4240.1,532.1,3508.5,199.5
FarmingtonPoliceDept,UT,12,6022,3,0,0,,0,3,175,26,141,8,49.8,.0,.0,,.0,49.8,2906.0,431.8,2341.4,132.8
HeberCityPoliceDept,UT,12,4911,1,0,0,,0,1,140,13,122,5,20.4,.0,.0,,.0,20.4,2850.7,264.7,2484.2,101.8
