StateID,Year,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
VT,1960,389881,37,1,9,,9,18,3181,944,1898,339,9.5,.3,2.3,,2.3,4.6,815.9,242.1,486.8,86.9
VT,1961,395000,79,6,36,,16,21,3147,1324,1489,334,20.0,1.5,9.1,,4.1,5.3,796.7,335.2,377.0,84.6
VT,1962,390000,57,1,24,,18,14,3944,1461,2133,350,14.6,.3,6.2,,4.6,3.6,1011.3,374.6,546.9,89.7
VT,1963,390000,92,2,33,,27,30,4242,1614,2167,461,23.6,.5,8.5,,6.9,7.7,1087.7,413.8,555.6,118.2
VT,1964,409000,89,2,24,,13,50,3438,1064,1968,406,21.8,.5,5.9,,3.2,12.2,840.6,260.1,481.2,99.3
VT,1965,397000,89,2,26,,18,43,3803,1286,2128,389,22.4,.5,6.5,,4.5,10.8,957.9,323.9,536.0,98.0
VT,1966,405000,80,6,28,,16,30,4444,1733,2238,473,19.8,1.5,6.9,,4.0,7.4,1097.3,427.9,552.6,116.8
VT,1967,417000,86,13,18,,8,47,5009,2156,2332,521,20.6,3.1,4.3,,1.9,11.3,1201.2,517.0,559.2,124.9
VT,1968,422000,157,11,31,,26,89,4960,2093,2505,362,37.2,2.6,7.3,,6.2,21.1,1175.4,496.0,593.6,85.8
VT,1969,439000,234,11,40,,41,142,6664,2632,3536,496,53.3,2.5,9.1,,9.3,32.3,1518.0,599.5,805.5,113.0
VT,1970,444732,329,6,46,,34,243,8108,3249,4308,551,74.0,1.3,10.3,,7.6,54.6,1823.1,730.6,968.7,123.9
VT,1971,458000,333,5,52,,45,231,9195,3325,5233,637,72.7,1.1,11.4,,9.8,50.4,2007.6,726.0,1142.6,139.1
VT,1972,462000,445,8,50,,49,338,9740,3411,5802,527,96.3,1.7,10.8,,10.6,73.2,2108.2,738.3,1255.8,114.1
VT,1973,464000,327,10,52,,41,224,11264,3719,6913,632,70.5,2.2,11.2,,8.8,48.3,2427.6,801.5,1489.9,136.2
VT,1974,470000,353,16,58,,65,214,13158,4791,7551,816,75.1,3.4,12.3,,13.8,45.5,2799.6,1019.4,1606.6,173.6
VT,1975,471000,448,10,69,,74,295,15948,5181,9948,819,95.1,2.1,14.6,,15.7,62.6,3386.0,1100.0,2112.1,173.9
VT,1976,476000,563,26,71,,85,381,14632,4868,8821,943,118.3,5.5,14.9,,17.9,80.0,3073.9,1022.7,1853.2,198.1
VT,1977,483000,722,7,77,,149,489,18424,6512,10631,1281,149.5,1.4,15.9,,30.8,101.2,3814.5,1348.2,2201.0,265.2
VT,1978,487000,810,16,71,,70,653,17728,6142,10543,1043,166.3,3.3,14.6,,14.4,134.1,3640.2,1261.2,2164.9,214.2
VT,1979,493000,908,7,113,,141,647,25217,7779,15776,1662,184.2,1.4,22.9,,28.6,131.2,5115.0,1577.9,3200.0,337.1
VT,1980,511299,914,11,149,,199,555,24592,7806,15278,1508,178.8,2.2,29.1,,38.9,108.5,4809.7,1526.7,2988.1,294.9
