Year,StateID,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
1962,AL,3358000,5283,316,218,,754,3995,35829,11722,21306,2801,157.3,9.4,6.5,,22.5,119.0,1067.0,349.1,634.5,83.4
1962,AK,246000,225,11,46,,34,134,3849,865,2424,560,91.5,4.5,18.7,,13.8,54.5,1564.6,351.6,985.4,227.6
1962,AZ,1509000,2610,86,198,,851,1475,45694,11693,28605,5396,173.0,5.7,13.1,,56.4,97.7,3028.1,774.9,1895.6,357.6
1962,AR,1823000,1667,144,124,,400,999,18199,5683,11169,1347,91.4,7.9,6.8,,21.9,54.8,998.3,311.7,612.7,73.9
1962,CA,16970000,39846,657,2946,,15598,20645,564451,158523,348373,57555,234.8,3.9,17.4,,91.9,121.7,3326.2,934.1,2052.9,339.2
1962,CO,1907000,2990,96,283,,1624,987,47872,12988,28740,6144,156.8,5.0,14.8,,85.2,51.8,2510.3,681.1,1507.1,322.2
1962,CT,2597000,938,34,81,,258,565,33798,10259,19741,3798,36.1,1.3,3.1,,9.9,21.8,1301.4,395.0,760.1,146.2
1962,DE,469000,338,20,44,,140,134,10157,2814,6479,864,72.1,4.3,9.4,,29.9,28.6,2165.7,600.0,1381.4,184.2
1962,DC,784000,4750,91,82,,1572,3005,17458,5022,9855,2581,605.9,11.6,10.5,,200.5,383.3,2226.8,640.6,1257.0,329.2
1962,FL,5459000,10489,420,318,,3457,6294,128028,40575,78266,9187,192.1,7.7,5.8,,63.3,115.3,2345.3,743.3,1433.7,168.3
1962,GA,4100000,6200,422,439,,1301,4038,57160,18872,30436,7852,151.2,10.3,10.7,,31.7,98.5,1394.1,460.3,742.3,191.5
1962,HI,693000,256,20,17,,120,99,17391,4485,10693,2213,36.9,2.9,2.5,,17.3,14.3,2509.5,647.2,1543.0,319.3
1962,ID,698000,234,21,25,,63,125,13227,2458,9939,830,33.5,3.0,3.6,,9.0,17.9,1895.0,352.1,1423.9,118.9
1962,IL,10146000,38926,537,1884,,20442,16063,219393,56377,125306,37710,383.7,5.3,18.6,,201.5,158.3,2162.4,555.7,1235.0,371.7
1962,IN,4715000,4191,167,289,,1814,1921,80810,22183,49473,9154,88.9,3.5,6.1,,38.5,40.7,1713.9,470.5,1049.3,194.1
1962,IA,2777000,559,31,105,,238,185,31031,7326,21668,2037,20.1,1.1,3.8,,8.6,6.7,1117.4,263.8,780.3,73.4
1962,KS,2219000,1477,63,147,,480,787,33314,7531,23514,2269,66.6,2.8,6.6,,21.6,35.5,1501.3,339.4,1059.7,102.3
1962,KY,3082000,2963,201,177,,1122,1463,38070,12809,21692,3569,96.1,6.5,5.7,,36.4,47.5,1235.2,415.6,703.8,115.8
1962,LA,3330000,4570,225,226,,1298,2821,39787,10891,22759,6137,137.2,6.8,6.8,,39.0,84.7,1194.8,327.1,683.5,184.3
1962,ME,999000,277,14,28,,78,157,11622,3073,7653,896,27.7,1.4,2.8,,7.8,15.7,1163.4,307.6,766.1,89.7
1962,MD,3191000,4915,183,279,,1340,3113,55410,12886,36298,6226,154.0,5.7,8.7,,42.0,97.6,1736.4,403.8,1137.5,195.1
1962,MA,5161000,3207,95,256,,1331,1525,80900,21181,44051,15668,62.1,1.8,5.0,,25.8,29.5,1567.5,410.4,853.5,303.6
1962,MI,7991000,18106,275,1133,,7710,8988,204073,57641,130499,15933,226.6,3.4,14.2,,96.5,112.5,2553.8,721.3,1633.1,199.4
1962,MN,3475000,1674,33,124,,1028,489,52088,13312,33781,4995,48.2,.9,3.6,,29.6,14.1,1498.9,383.1,972.1,143.7
1962,MS,2248000,2079,164,96,,179,1640,14830,5115,8481,1234,92.5,7.3,4.3,,8.0,73.0,659.7,227.5,377.3,54.9
1962,MO,4346000,8059,241,548,,3474,3796,92297,26238,57277,8782,185.4,5.5,12.6,,79.9,87.3,2123.7,603.7,1317.9,202.1
1962,MT,709000,390,15,52,,141,182,13675,2941,9143,1591,55.0,2.1,7.3,,19.9,25.7,1928.8,414.8,1289.6,224.4
1962,NE,1484000,637,23,93,,275,246,18536,3894,12846,1796,42.9,1.5,6.3,,18.5,16.6,1249.1,262.4,865.6,121.0
1962,NV,335000,711,27,66,,357,261,11712,2971,7054,1687,212.2,8.1,19.7,,106.6,77.9,3496.1,886.9,2105.7,503.6
1962,NH,632000,178,15,22,,22,119,6140,1781,3821,538,28.2,2.4,3.5,,3.5,18.8,971.5,281.8,604.6,85.1
1962,NJ,6245000,7874,187,510,,2816,4361,101025,31868,54516,14641,126.1,3.0,8.2,,45.1,69.8,1617.7,510.3,873.0,234.4
1962,NM,1020000,1338,64,127,,419,728,21654,5256,14109,2289,131.2,6.3,12.5,,41.1,71.4,2122.9,515.3,1383.2,224.4
1962,NC,4731000,9533,373,362,,836,7962,48704,14704,29642,4358,201.5,7.9,7.7,,17.7,168.3,1029.5,310.8,626.5,92.1
1962,ND,642000,128,8,27,,40,53,5999,1217,4246,536,19.9,1.2,4.2,,6.2,8.3,934.4,189.6,661.4,83.5
1962,OH,10097000,8366,321,520,,3830,3695,149733,40014,95938,13781,82.9,3.2,5.2,,37.9,36.6,1482.9,396.3,950.2,136.5
1962,OK,2448000,2478,126,182,,973,1197,45959,12563,28501,4895,101.2,5.1,7.4,,39.7,48.9,1877.4,513.2,1164.3,200.0
1962,OR,1864000,1461,54,174,,714,519,36903,8268,25871,2764,78.4,2.9,9.3,,38.3,27.8,1979.8,443.6,1387.9,148.3
1962,PA,11376000,11856,311,946,,4534,6065,117167,37298,64359,15510,104.2,2.7,8.3,,39.9,53.3,1029.9,327.9,565.7,136.3
1962,RI,865000,402,7,18,,108,269,16102,4002,9788,2312,46.5,.8,2.1,,12.5,31.1,1861.5,462.7,1131.6,267.3
1962,SC,2436000,3012,247,172,,468,2125,37835,12299,22696,2840,123.6,10.1,7.1,,19.2,87.2,1553.2,504.9,931.7,116.6
1962,SD,721000,279,24,42,,62,151,7680,1843,5160,677,38.7,3.3,5.8,,8.6,20.9,1065.2,255.6,715.7,93.9
1962,TN,3634000,3767,220,241,,1266,2040,46567,16772,24049,5746,103.7,6.1,6.6,,34.8,56.1,1281.4,461.5,661.8,158.1
1962,TX,10116000,15516,730,937,,3192,10657,201754,58017,126751,16986,153.4,7.2,9.3,,31.6,105.3,1994.4,573.5,1253.0,167.9
1962,UT,967000,554,22,76,,217,239,22005,4170,15804,2031,57.3,2.3,7.9,,22.4,24.7,2275.6,431.2,1634.3,210.0
1962,VT,390000,57,1,24,,18,14,3944,1461,2133,350,14.6,.3,6.2,,4.6,3.6,1011.3,374.6,546.9,89.7
1962,VA,4177000,7720,362,342,,1070,5946,65949,18034,42551,5364,184.8,8.7,8.2,,25.6,142.4,1578.9,431.7,1018.7,128.4
1962,WA,3006000,1913,74,189,,912,738,68238,14695,48212,5331,63.6,2.5,6.3,,30.3,24.6,2270.1,488.9,1603.9,177.3
1962,WV,1773000,1146,66,75,,273,732,12097,3837,6996,1264,64.6,3.7,4.2,,15.4,41.3,682.3,216.4,394.6,71.3
1962,WI,4092000,1174,37,98,,348,691,47038,8757,34041,4240,28.7,.9,2.4,,8.5,16.9,1149.5,214.0,831.9,103.6
1962,WY,365000,156,12,28,,51,65,5711,1038,4177,496,42.7,3.3,7.7,,14.0,17.8,1564.7,284.4,1144.4,135.9
1962,UnitedStatesTotal,185771000,301510,8530,17550,,110860,164570,3450700,994300,2089600,366800,162.3,4.6,9.4,,59.7,88.6,1857.5,535.2,1124.8,197.4
