Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 1999

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Alpine Police Dept,UT,12,       5496,           7,           0,           2,,           0,           5,         247,          36,         200,          11,         127.4,            .0,          36.4,,            .0,          91.0,       4494.2,         655.0,       3639.0,         200.1
American Fork Police Dept,UT,12,      19490,          60,           0,           5,,           4,          51,         845,         145,         638,          62,         307.9,            .0,          25.7,,          20.5,         261.7,       4335.6,         744.0,       3273.5,         318.1
Bountiful Police Dept,UT,12,      41006,         160,           0,           2,,           7,         151,         963,         150,         745,          68,         390.2,            .0,           4.9,,          17.1,         368.2,       2348.4,         365.8,       1816.8,         165.8
Brigham City Police Dept,UT,12,      17203,          32,           0,           6,,           1,          25,         918,         155,         713,          50,         186.0,            .0,          34.9,,           5.8,         145.3,       5336.3,         901.0,       4144.6,         290.6
Cache County Sheriff Office,UT,12,,          25,           0,           8,,           2,          15,         653,         120,         504,          29,,,,,,,,,,
Cedar City Police Dept,UT,12,      19224,          17,           0,           0,,           3,          14,         589,          81,         480,          28,          88.4,            .0,            .0,,          15.6,          72.8,       3063.9,         421.3,       2496.9,         145.7
Centerville Police Dept,UT,12,      15023,          10,           0,           2,,           2,           6,         427,          52,         349,          26,          66.6,            .0,          13.3,,          13.3,          39.9,       2842.3,         346.1,       2323.1,         173.1
Clearfield Police Dept,UT,12,      26248,          25,           1,           3,,           6,          15,         800,         103,         653,          44,          95.2,           3.8,          11.4,,          22.9,          57.1,       3047.9,         392.4,       2487.8,         167.6
Clinton Police Dept,UT,12,      11679,          18,           0,           4,,           1,          13,         229,          80,         131,          18,         154.1,            .0,          34.2,,           8.6,         111.3,       1960.8,         685.0,       1121.7,         154.1
Davis County Sheriff Office,UT,12,,          17,           0,           3,,           0,          14,         138,          36,          89,          13,,,,,,,,,,
Farmington Police Dept,UT,12,      11335,           5,           0,           2,,           0,           3,         315,          64,         232,          19,          44.1,            .0,          17.6,,            .0,          26.5,       2779.0,         564.6,       2046.8,         167.6
Heber City Police Dept,UT,12,       5956,           4,           0,           0,,           0,           4,          70,          21,          42,           7,          67.2,            .0,            .0,,            .0,          67.2,       1175.3,         352.6,         705.2,         117.5
Hurricane Police Dept,UT,12,       7296,           5,           0,           1,,           0,           4,         168,          29,         131,           8,          68.5,            .0,          13.7,,            .0,          54.8,       2302.6,         397.5,       1795.5,         109.6
Kaysville Police Dept,UT,12,      19392,          20,           0,           1,,           2,          17,         555,          75,         467,          13,         103.1,            .0,           5.2,,          10.3,          87.7,       2862.0,         386.8,       2408.2,          67.0
Layton Police Dept,UT,12,      55901,          66,           0,          11,,          10,          45,       1745,         289,       1351,         105,         118.1,            .0,          19.7,,          17.9,          80.5,       3121.6,         517.0,       2416.8,         187.8
Lehi Police Dept,UT,12,      15516,          22,           0,           6,,           3,          13,         389,         113,         248,          28,         141.8,            .0,          38.7,,          19.3,          83.8,       2507.1,         728.3,       1598.4,         180.5
Logan Police Dept,UT,12,      40849,          48,           1,          13,,           2,          32,         928,         112,         797,          19,         117.5,           2.4,          31.8,,           4.9,          78.3,       2271.8,         274.2,       1951.1,          46.5
Midvale Police Dept,UT,12,      29890,         137,           0,          18,,          29,          90,       1940,         253,       1496,         191,         458.3,            .0,          60.2,,          97.0,         301.1,       6490.5,         846.4,       5005.0,         639.0
Murray Police Dept,UT,12,      33642,         152,           2,          19,,          35,          96,       2972,         319,       2435,         218,         451.8,           5.9,          56.5,,         104.0,         285.4,       8834.2,         948.2,       7238.0,         648.0
North Ogden Police Dept,UT,12,      15023,           2,           0,           1,,           0,           1,         220,          21,         194,           5,          13.3,            .0,           6.7,,            .0,           6.7,       1464.4,         139.8,       1291.4,          33.3
North Logan Police Dept,UT,12,       6821,           5,           0,           2,,           0,           3,         235,          33,         190,          12,          73.3,            .0,          29.3,,            .0,          44.0,       3445.2,         483.8,       2785.5,         175.9
North Salt Lake Police Dept,UT,12,       8590,          13,           1,           4,,           2,           6,         378,          43,         302,          33,         151.3,          11.6,          46.6,,          23.3,          69.8,       4400.5,         500.6,       3515.7,         384.2
Ogden Police Dept,UT,12,      67460,         425,           6,          54,,         113,         252,       4965,         831,       3855,         279,         630.0,           8.9,          80.0,,         167.5,         373.6,       7359.9,       1231.8,       5714.5,         413.6
Orem Police Dept,UT,12,      80068,          52,           0,          18,,          12,          22,       3805,         349,       3238,         218,          64.9,            .0,          22.5,,          15.0,          27.5,       4752.2,         435.9,       4044.1,         272.3
Payson Police Dept,UT,12,      11108,          13,           0,           8,,           0,           5,         419,          44,         343,          32,         117.0,            .0,          72.0,,            .0,          45.0,       3772.1,         396.1,       3087.9,         288.1
Pleasant Grove Police Dept,UT,12,      20785,          23,           0,           6,,           2,          15,         887,         130,         703,          54,         110.7,            .0,          28.9,,           9.6,          72.2,       4267.5,         625.5,       3382.2,         259.8
Provo Police Dept,UT,12,     112001,         143,           0,          47,,          20,          76,       3570,         609,       2756,         205,         127.7,            .0,          42.0,,          17.9,          67.9,       3187.5,         543.7,       2460.7,         183.0
Roy Police Dept,UT,12,      31891,         113,           0,           1,,           7,         105,       1035,         128,         864,          43,         354.3,            .0,           3.1,,          21.9,         329.2,       3245.4,         401.4,       2709.2,         134.8
St. George Police Dept,UT,12,      46848,         128,           0,          34,,           9,          85,       1573,         198,       1281,          94,         273.2,            .0,          72.6,,          19.2,         181.4,       3357.7,         422.6,       2734.4,         200.6
Salt Lake City Police Dept,UT,12,     177010,       1258,          16,         147,,         485,         610,      17011,       2244,      12922,       1845,         710.7,           9.0,          83.0,,         274.0,         344.6,       9610.2,       1267.7,       7300.2,       1042.3
Salt Lake County Sheriff Office,UT,12,,       1009,           6,         156,,         136,         711,      18019,       2443,      14263,       1313,,,,,,,,,,
Sandy City Police Dept,UT,12,     100607,         191,           2,          27,,          35,         127,       3084,         494,       2402,         188,         189.8,           2.0,          26.8,,          34.8,         126.2,       3065.4,         491.0,       2387.5,         186.9
Santaquin Police Dept,UT,12,       2896,           5,           0,           0,,           0,           5,          67,          31,          32,           4,         172.7,            .0,            .0,,            .0,         172.7,       2313.5,       1070.4,       1105.0,         138.1
South Jordan Police Dept,UT,12,      26792,          22,           0,           3,,           1,          18,         730,         150,         543,          37,          82.1,            .0,          11.2,,           3.7,          67.2,       2724.7,         559.9,       2026.7,         138.1
South Ogden Police Dept,UT,12,      14881,          36,           1,           6,,           5,          24,         720,          64,         627,          29,         241.9,           6.7,          40.3,,          33.6,         161.3,       4838.4,         430.1,       4213.4,         194.9
South Salt Lake Police Dept,UT,12,      20137,         106,           1,          18,,          29,          58,       2387,         286,       1729,         372,         526.4,           5.0,          89.4,,         144.0,         288.0,      11853.8,       1420.3,       8586.2,       1847.3
Spanish Fork Police Dept,UT,12,      15778,          17,           0,          11,,           0,           6,         721,          82,         612,          27,         107.7,            .0,          69.7,,            .0,          38.0,       4569.7,         519.7,       3878.8,         171.1
Springville Police Dept,UT,12,      16172,          32,           0,           7,,           5,          20,         791,         116,         637,          38,         197.9,            .0,          43.3,,          30.9,         123.7,       4891.2,         717.3,       3938.9,         235.0
Summit County Sheriff Office,UT,11,,           5,           0,           3,,           0,           2,         584,          47,         503,          34,,,,,,,,,,
Syracuse Police Dept,UT,11,       7648,           3,           0,           1,,           0,           2,          72,          15,          46,          11,,,,,,,,,,
Tooele Police Dept,UT,11,      16988,          34,           0,           9,,           4,          21,         482,         112,         346,          24,,,,,,,,,,
Utah County Sheriff Office,UT,12,,          52,           0,          13,,           0,          39,         511,         134,         326,          51,,,,,,,,,,
Vernal Police Dept,UT,12,       7472,           9,           0,           3,,           1,           5,         323,          55,         257,          11,         120.4,            .0,          40.1,,          13.4,          66.9,       4322.8,         736.1,       3439.5,         147.2
Weber County Sheriff Department,UT,12,,          29,           1,          10,,           1,          17,         800,         152,         608,          40,,,,,,,,,,
West Jordan Police Dept,UT,12,      61675,         104,           1,          16,,          27,          60,       2518,         432,       1930,         156,         168.6,           1.6,          25.9,,          43.8,          97.3,       4082.7,         700.4,       3129.3,         252.9
West Valley Police Dept,UT,12,     100795,         484,           4,          47,,         114,         319,       7364,       1144,       5523,         697,         480.2,           4.0,          46.6,,         113.1,         316.5,       7305.9,       1135.0,       5479.4,         691.5
Woods Cross Police Dept,UT,12,       5971,           6,           0,           1,,           0,           5,         331,          55,         242,          34,         100.5,            .0,          16.7,,            .0,          83.7,       5543.5,         921.1,       4052.9,         569.4

		
		,1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as "Forcible" rape.  See UCR Offense Definitions for further information.
		
		,2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.
		
		
"Notes: When data are unavailable, the cells are blank or the year is not presented."

              Variations in population coverage and reporting practices may cause differences in reporting from year to year. (See definitions)

              MSA and non-MSA county populations are not available.

          Crime rates are not available for agencies that report data for less than 12 months of a year.


"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Nov 08 2018 
