StateID,Year,Unemployment
AL,1976,6.7667
AL,1977,7.3167
AL,1978,6.3167
AL,1979,7.1750
AL,1980,8.8833
AL,1981,10.5333
AL,1982,14.0833
AL,1983,13.8333
AL,1984,11.0000
AL,1985,9.1417
AL,1986,9.7083
AL,1987,8.0583
AL,1988,7.1917
AL,1989,7.0417
AL,1990,6.7917
AL,1991,7.3500
AL,1992,7.5667
AL,1993,7.3667
AL,1994,6.1917
AL,1995,5.9500
AL,1996,5.2250
AL,1997,4.9750
AL,1998,4.3917
AL,1999,4.7333
AL,2000,4.5750
AL,2001,5.1000
AL,2002,5.9000
AL,2003,6.0250
AL,2004,5.7000
AL,2005,4.5000
AL,2006,4.0667
AL,2007,3.9750
AL,2008,5.7167
AL,2009,10.9917
AL,2010,10.5417
AL,2011,9.6167
AL,2012,7.9833
AL,2013,7.2167
AL,2014,6.7667
AL,2015,6.0917
AL,2016,5.8583
AL,2017,4.4083
AL,2018,3.9400
AK,1976,7.5167
AK,1977,9.8667
AK,1978,10.6167
AK,1979,9.2750
AK,1980,9.6500
AK,1981,9.3833
AK,1982,9.9583
AK,1983,9.9333
AK,1984,9.8500
AK,1985,9.6917
AK,1986,10.9333
AK,1987,10.2667
AK,1988,8.7833
AK,1989,7.0083
AK,1990,7.2333
AK,1991,8.4583
AK,1992,8.9167
AK,1993,7.7083
AK,1994,7.5667
AK,1995,7.3167
AK,1996,7.5833
AK,1997,7.1417
AK,1998,6.3583
AK,1999,6.4667
AK,2000,6.3583
AK,2001,6.4167
AK,2002,7.3000
AK,2003,7.8167
AK,2004,7.4500
AK,2005,6.8833
AK,2006,6.6250
AK,2007,6.3500
AK,2008,6.7083
AK,2009,7.7333
AK,2010,7.8750
AK,2011,7.5667
AK,2012,7.1333
AK,2013,7.0000
AK,2014,6.8667
AK,2015,6.5333
AK,2016,6.9083
AK,2017,7.1417
AK,2018,7.0000
AZ,1976,9.6833
AZ,1977,8.2167
AZ,1978,6.0333
AZ,1979,5.0917
AZ,1980,6.6500
AZ,1981,6.2250
AZ,1982,10.0917
AZ,1983,8.8250
AZ,1984,5.1750
AZ,1985,6.3333
AZ,1986,6.9250
AZ,1987,6.4500
AZ,1988,6.3667
AZ,1989,5.3583
AZ,1990,5.2583
AZ,1991,5.9667
AZ,1992,7.5417
AZ,1993,6.4083
AZ,1994,6.1500
AZ,1995,5.3583
AZ,1996,5.5667
AZ,1997,4.5833
AZ,1998,4.3250
AZ,1999,4.4417
AZ,2000,3.9750
AZ,2001,4.7750
AZ,2002,6.1000
AZ,2003,5.7667
AZ,2004,5.0417
AZ,2005,4.6667
AZ,2006,4.2250
AZ,2007,3.8250
AZ,2008,6.1417
AZ,2009,9.9250
AZ,2010,10.3500
AZ,2011,9.5000
AZ,2012,8.3333
AZ,2013,7.7417
AZ,2014,6.7833
AZ,2015,6.0417
AZ,2016,5.3750
AZ,2017,4.8583
AZ,2018,4.7400
AR,1976,6.9750
AR,1977,6.4500
AR,1978,6.1917
AR,1979,6.2083
AR,1980,7.5583
AR,1981,8.7583
AR,1982,9.9000
AR,1983,9.8250
AR,1984,8.7333
AR,1985,8.6833
AR,1986,8.5583
AR,1987,8.1083
AR,1988,7.6000
AR,1989,6.9750
AR,1990,6.9083
AR,1991,7.4250
AR,1992,7.0917
AR,1993,6.1417
AR,1994,5.3750
AR,1995,4.8500
AR,1996,5.2500
